,accentcity,city,country,geopoint,latitude,longitude,population,region,point_count
129820,Cheney,cheney,us,"[47.4875, -117.5747222]",47.4875,-117.5747222,10292.0,WA,3
129813,East Renton Highlands,east renton highlands,us,"[47.485, -122.1111111]",47.485,-122.1111111,12991.0,WA,3
129754,Renton,renton,us,"[47.4830556, -122.2158333]",47.4830556,-122.2158333,56141.0,WA,12
129797,Tukwila,tukwila,us,"[47.4741667, -122.2597222]",47.4741667,-122.2597222,17022.0,WA,4
60775,Bemidji,bemidji,us,"[47.4736111, -94.88]",47.4736111,-94.88,13331.0,MN,3
129772,Burien,burien,us,"[47.4705556, -122.3455556]",47.4705556,-122.3455556,30611.0,WA,7
129783,SeaTac,seatac,us,"[47.4538889, -122.3205556]",47.4538889,-122.3205556,24663.0,WA,5
60766,Hibbing,hibbing,us,"[47.4272222, -92.9375]",47.4272222,-92.9375,16638.0,MN,4
129809,East Wenatchee Bench,east wenatchee bench,us,"[47.4258333, -120.28]",47.4258333,-120.28,13902.0,WA,3
129776,Wenatchee,wenatchee,us,"[47.4236111, -120.3091667]",47.4236111,-120.3091667,29159.0,WA,6
129831,East Wenatchee,east wenatchee,us,"[47.4158333, -120.2919444]",47.4158333,-120.2919444,8856.0,WA,2
129808,Maple Valley,maple valley,us,"[47.4066667, -122.0375]",47.4066667,-122.0375,14100.0,WA,3
129777,Des Moines,des moines,us,"[47.4019444, -122.3230556]",47.4019444,-122.3230556,28668.0,WA,6
129749,Kent,kent,us,"[47.3811111, -122.2336111]",47.3811111,-122.2336111,82276.0,WA,17
56018,Madawaska,madawaska,us,"[47.3552778, -68.3222222]",47.3552778,-68.3222222,4944.0,ME,1
129800,Covington,covington,us,"[47.3483333, -122.1136111]",47.3483333,-122.1136111,16841.0,WA,4
129750,Federal Way,federal way,us,"[47.3225, -122.3113889]",47.3225,-122.3113889,80815.0,WA,17
129758,Auburn,auburn,us,"[47.3075, -122.2272222]",47.3075,-122.2272222,45650.0,WA,10
129744,Tacoma,tacoma,us,"[47.2530556, -122.4430556]",47.2530556,-122.4430556,196957.0,WA,40
129825,Edgewood,edgewood,us,"[47.2502778, -122.2925]",47.2502778,-122.2925,9727.0,WA,2
129770,University Place,university place,us,"[47.2358333, -122.5491667]",47.2358333,-122.5491667,30873.0,WA,7
129829,Shelton,shelton,us,"[47.2152778, -123.0994444]",47.2152778,-123.0994444,9032.0,WA,2
129817,Enumclaw,enumclaw,us,"[47.2044444, -121.9902778]",47.2044444,-121.9902778,10857.0,WA,3
129826,Sumner,sumner,us,"[47.2033333, -122.2391667]",47.2033333,-122.2391667,9343.0,WA,2
129765,Puyallup,puyallup,us,"[47.1855556, -122.2916667]",47.1855556,-122.2916667,36675.0,WA,8
129806,Bonney Lake,bonney lake,us,"[47.1772222, -122.1852778]",47.1772222,-122.1852778,14873.0,WA,3
129753,Lakewood,lakewood,us,"[47.1719444, -122.5172222]",47.1719444,-122.5172222,58912.0,WA,12
129781,Parkland,parkland,us,"[47.1555556, -122.4327778]",47.1555556,-122.4327778,25133.0,WA,6
129761,South Hill,south hill,us,"[47.1413889, -122.2688889]",47.1413889,-122.2688889,44139.0,WA,9
129801,Moses Lake,moses lake,us,"[47.1302778, -119.2769444]",47.1302778,-119.2769444,16626.0,WA,4
69187,Glendive,glendive,us,"[47.1052778, -104.7119444]",47.1052778,-104.7119444,4699.0,MT,1
129782,Spanaway,spanaway,us,"[47.1041667, -122.4333333]",47.1041667,-122.4333333,25045.0,WA,6
69184,Lewistown,lewistown,us,"[47.0625, -109.4275]",47.0625,-109.4275,5918.0,MT,2
129794,Elk Plain,elk plain,us,"[47.0533333, -122.3963889]",47.0533333,-122.3963889,17279.0,WA,4
129759,Olympia,olympia,us,"[47.0380556, -122.8994444]",47.0380556,-122.8994444,44916.0,WA,9
129768,Lacey,lacey,us,"[47.0344444, -122.8219444]",47.0344444,-122.8219444,33755.0,WA,7
129812,Tumwater,tumwater,us,"[47.0075, -122.9080556]",47.0075,-122.9080556,13374.0,WA,3
129795,Ellensburg,ellensburg,us,"[46.9966667, -120.5466667]",46.9966667,-120.5466667,17049.0,WA,4
129833,Hoquiam,hoquiam,us,"[46.9811111, -123.8880556]",46.9811111,-123.8880556,8835.0,WA,2
129803,Aberdeen,aberdeen,us,"[46.9755556, -123.8144444]",46.9755556,-123.8144444,16055.0,WA,4
