,Illnesses,PASSENGERS,population,perNoYrly,Ycity,Unnamed: 0,DENSITY,POP
24,0.0,0.0,70443.0,33.400000000000006,"Alameda, CA",1204.0,7501.9798128,78338.0
341,132.0,0.0,72786.0,28.700000000000003,"New Rochelle, NY",11695.0,7607.719162100001,78742.0
368,625.0,0.0,82565.0,28.700000000000003,"Parma, OH",13478.0,3934.1338193000006,78751.0
54,0.0,0.0,67953.0,34.7,"Folsom, CA",1344.0,2841.935497,79022.0
95,0.0,0.0,46318.0,34.8,"Perris, CA",1516.0,2507.30535,79133.0
85,0.0,52.0,77015.0,37.2,"Napa, CA",1482.0,4415.575167,79263.0
301,203.0,0.0,72239.0,30.799999999999997,"Plymouth, MN",8743.0,2428.7126172,79450.0
446,354.0,0.0,60687.0,36.1,"Pharr, TX",17389.0,3372.8517411,79707.0
134,0.0,0.0,68728.0,33.900000000000006,"Tustin, CA",1643.0,7176.3402299,79795.0
70,0.0,0.0,82115.0,32.900000000000006,"Lakewood, CA",1415.0,8514.6282719,80140.0
272,174.0,0.0,72609.0,24.400000000000006,"Lawrence, MA",7552.0,11597.130461,80376.0
79,0.0,0.0,62636.0,34.5,"Milpitas, CA",1464.0,5891.0093264,80430.0
298,203.0,0.0,67595.0,29.799999999999997,"Brooklyn Park, MN",8210.0,3091.4740223000003,80610.0
395,1093.0,0.0,88071.0,19.700000000000003,"Warwick, RI",15615.0,2309.9360729,80847.0
175,32.0,0.0,66239.0,24.400000000000006,"Deerfield Beach, FL",2129.0,5409.4891805,80863.0
23,0.0,0.0,56402.0,33.0,"Springdale, AR",1130.0,1731.7205192000001,81029.0
284,516.0,0.0,79955.0,28.599999999999994,"Farmington Hills, MI",7744.0,2437.5291244000005,81093.0
392,1093.0,0.0,82926.0,19.099999999999994,"Cranston, RI",15610.0,2868.4911598999997,81274.0
278,174.0,0.0,75261.0,25.200000000000003,"Somerville, MA",7572.0,19776.597958000002,81562.0
76,0.0,0.0,65820.0,37.3,"Manteca, CA",1452.0,3912.9426204000006,81592.0
223,3191.0,0.0,81184.0,33.7,"Cicero, IL",3420.0,13912.422632,81597.0
435,354.0,0.0,75920.0,30.599999999999994,"Longview, TX",17188.0,1466.0547707,81647.0
295,516.0,0.0,84801.0,29.200000000000003,"Westland, MI",8099.0,3999.6701178999997,81720.0
477,34.0,0.0,45650.0,39.2,"Auburn, WA",18290.0,2776.3039061,81905.0
469,882.0,0.0,65517.0,25.700000000000003,"Lynchburg, VA",18178.0,1676.9245257,82126.0
382,590.0,0.0,69638.0,38.6,"Medford, OR",14487.0,3196.4588866999998,82347.0
96,0.0,0.0,66532.0,33.7,"Pleasanton, CA",1526.0,3411.2916164999997,82372.0
250,453.0,0.0,83248.0,31.599999999999994,"Sioux City, IA",5851.0,1409.7270675999998,82396.0
33,0.0,0.0,79157.0,34.099999999999994,"Buena Park, CA",1252.0,7835.523971,82421.0
185,32.0,2162.0,76326.0,24.799999999999997,"Melbourne, FL",2282.0,1880.7084084000003,82826.0
482,34.0,0.0,62158.0,40.0,"Kennewick, WA",18391.0,3021.6876889,82943.0
78,0.0,0.0,72619.0,36.2,"Merced, CA",1461.0,3587.1197651,83316.0
83,0.0,8.0,68268.0,34.8,"Mountain View, CA",1479.0,6953.547531499999,83377.0
39,0.0,0.0,78211.0,33.099999999999994,"Chino Hills, CA",1274.0,1867.8140013,83447.0
332,0.0,34.0,84833.0,21.799999999999997,"Trenton, NJ",11191.0,11080.443403,83974.0
293,516.0,0.0,81269.0,30.0,"Troy, MI",8072.0,2518.3147341999997,84272.0
207,25.0,0.0,0.0,26.200000000000003,"Johns Creek, GA",2716.0,2736.1741484,84310.0
337,220.0,2.0,69205.0,38.9,"Santa Fe, NM",11309.0,1621.4309437000002,84612.0
25,0.0,0.0,88386.0,33.3,"Alhambra, CA",1206.0,11092.762854999999,84649.0
